date,SGS,SWISSCOM,GIVAUDAN,ZURICH INSURANCE,NOVARTIS,ROCHE,CREDIT SUISSE,ADECCO,LAFARGEHOLCIM,ABB,SWATCH,LONZA,SWISS LIFE,GEBERIT,NESTLE,JULIUS BAER,SWISS RE,RICHEMONT,UBS,SIKA,SMI
2016-01-01,1911,503.0,1823,258.4,86.8,276.4,20.929000000000002,68.047,50.3,17.96,350.2,151.078,271.3,340.2,74.55,48.66,98.15,72.1,19.52,60.335,8818.09
2016-01-08,1757,488.3,1714,241.4,82.1,263.0,19.028,62.368,46.0,16.43,315.0,143.668,257.2,318.1,70.3,44.18,93.25,66.05,17.46,58.583999999999996,8257.28
2016-01-15,1770,478.2,1772,242.8,80.35,256.5,18.054000000000002,59.356,42.26,16.18,318.7,138.017,262.3,332.3,70.1,42.02,92.6,63.1,16.71,58.451,8107.13
2016-01-22,1932,489.0,1812,224.4,82.9,265.3,17.359,60.836999999999996,44.12,16.77,328.2,143.575,256.8,342.4,72.1,42.59,92.6,64.35,16.83,58.818000000000005,8271.11
2016-01-29,1983,507.5,1907,225.8,78.5,263.9,17.369,61.726000000000006,42.92,17.57,348.4,144.779,259.6,361.8,75.2,43.25,94.8,66.25,16.83,60.951,8319.81
2016-02-05,1982,482.5,1855,213.4,73.9,252.2,14.425999999999998,59.108999999999995,39.01,17.6,356.0,135.79399999999998,241.7,354.3,73.35,39.62,89.65,65.5,15.21,60.518,7960.13
2016-02-12,1870,467.9,1765,205.6,70.9,244.3,12.64,53.13399999999999,35.34,16.57,324.0,127.921,224.8,345.4,71.9,38.34,86.0,62.4,14.5,58.851000000000006,7656.6
2016-02-19,1978,482.7,1870,212.8,73.2,255.7,12.64,57.628,37.99,17.73,341.6,136.44299999999998,237.8,359.5,70.85,40.39,91.65,65.0,14.79,64.15100000000001,7863.36
2016-02-26,2016,490.0,1878,213.9,72.05,260.1,13.171,57.776,39.34,17.79,344.5,140.611,241.2,357.9,70.45,40.42,89.0,63.5,15.31,62.335,7877.03
2016-03-04,2025,498.6,1870,225.1,71.65,250.7,14.908,60.986000000000004,42.87,18.3,357.9,143.112,257.4,363.5,71.5,43.27,90.1,65.55,16.47,63.935,7982.57
2016-03-11,2042,518.5,1893,228.1,72.9,246.0,14.956,62.121,42.49,18.34,351.0,143.39,262.7,371.8,71.55,43.43,89.4,66.45,16.58,63.968,7998.43
2016-03-18,2001,519.5,1858,226.9,69.85,234.2,14.04,61.578,42.88,18.85,344.8,147.743,257.4,351.8,71.45,42.18,90.15,64.85,16.2,61.351000000000006,7813.68
2016-03-25,1970,515.0,1885,220.9,71.45,235.2,13.460999999999999,60.541000000000004,42.73,18.44,328.7,147.095,255.9,353.7,70.65,40.62,88.35,61.3,15.8,62.718,7775.58
2016-04-01,2034,522.5,1882,202.2,68.5,233.2,12.959000000000001,62.071999999999996,45.71,18.44,326.0,150.059,254.1,357.4,71.1,41.33,87.7,62.3,15.12,62.935,7688.34
2016-04-08,2112,502.5,1910,197.7,72.0,243.4,12.544,62.17100000000001,45.14,18.57,317.4,152.931,247.4,354.9,72.55,39.43,87.55,60.2,14.58,65.085,7817.55
2016-04-15,2098,495.2,1940,210.6,73.15,248.1,13.914000000000001,63.455,49.27,19.27,333.1,151.726,258.9,357.1,72.7,40.16,93.0,64.65,15.51,63.168,8014.6
2016-04-22,2140,491.6,1917,216.7,74.5,252.0,14.609000000000002,63.8,48.73,20.32,328.5,148.855,254.6,354.8,72.35,40.92,93.45,64.05,16.19,66.935,8109.44
2016-04-29,2111,486.5,1890,214.7,73.2,242.5,14.059000000000001,60.986000000000004,48.57,20.28,327.6,147.836,242.1,368.3,71.5,41.01,85.1,63.8,16.6,68.051,7960.85
2016-05-06,2090,476.2,1901,209.2,70.75,234.1,12.969000000000001,60.047,43.64,20.0,313.9,148.762,238.8,363.8,71.0,38.14,85.7,61.25,15.1,69.001,7735.6
2016-05-13,2082,486.3,1949,231.6,73.3,245.1,12.92,57.726000000000006,43.36,19.93,305.3,155.43200000000002,238.8,369.9,73.0,39.14,85.2,61.0,14.55,69.635,7925.76
2016-05-20,2153,472.5,1931,238.5,75.05,247.1,13.075,58.17100000000001,44.41,20.27,296.6,158.025,242.3,377.2,72.8,41.32,86.5,58.95,14.73,71.435,7997.3
2016-05-27,2150,478.7,1930,243.9,79.6,263.4,13.654000000000002,59.455,44.93,20.96,294.6,157.655,256.1,379.8,74.25,43.94,89.3,58.75,15.34,71.535,8292.45
2016-06-03,2148,478.6,1885,235.0,79.0,258.2,12.573,59.06,43.68,20.48,293.0,158.118,252.4,379.9,73.35,42.76,87.6,59.05,14.41,71.168,8148.4
2016-06-10,2123,459.8,1850,226.0,76.25,250.8,11.655999999999999,57.282,41.95,20.06,293.5,150.15200000000002,236.5,370.6,72.1,41.7,83.95,58.45,13.9,69.335,7922.71
2016-06-17,2070,452.9,1820,225.4,74.85,240.4,11.55,55.01,40.23,19.64,287.3,144.501,229.6,359.0,69.75,40.57,80.75,57.0,13.97,67.735,7713.61
2016-06-24,2115,450.6,1861,227.0,75.75,241.0,10.845999999999998,52.245,39.74,19.6,279.8,147.188,226.5,367.5,71.5,40.59,80.8,56.15,13.6,65.768,7747.18
2016-07-01,2237,480.9,1980,241.2,80.45,256.7,10.161,48.996,41.02,19.38,286.1,154.042,228.0,371.0,76.05,39.08,85.6,57.35,12.87,69.001,8085.21
2016-07-08,2240,474.7,2034,228.9,80.8,254.5,9.871,48.522,40.8,19.3,279.0,149.689,211.5,364.6,77.3,37.94,81.6,55.45,12.01,69.135,8037.94
2016-07-15,2314,482.8,2057,234.8,80.35,255.6,10.690999999999999,52.443000000000005,43.96,19.66,267.0,155.524,219.9,371.4,77.85,40.02,83.3,58.15,12.94,69.851,8156.26
2016-07-22,2168,479.7,2026,233.2,82.35,249.8,10.981,52.443000000000005,43.85,20.58,255.7,168.30700000000002,219.6,372.8,78.15,39.93,82.6,57.45,13.16,71.518,8194.73
2016-07-29,2145,477.1,1992,232.9,80.3,247.5,10.759,52.541000000000004,46.12,20.6,254.1,169.233,221.5,374.0,77.7,39.78,81.35,58.95,13.35,75.768,8127.2
2016-08-05,2151,479.8,2013,235.1,81.55,250.3,10.614,52.93600000000001,47.99,20.9,252.2,169.97400000000002,223.7,384.9,78.1,40.87,82.7,58.0,13.19,76.018,8194.34
2016-08-12,2189,487.0,2062,253.0,80.05,248.5,11.27,55.702,51.7,21.58,267.4,174.606,235.5,400.6,79.8,41.83,84.25,60.45,13.53,77.668,8295.04
2016-08-19,2166,466.3,2027,244.1,77.95,242.5,11.0,54.368,50.2,21.16,269.8,172.29,237.9,425.7,78.9,39.34,80.5,59.85,12.88,76.801,8127.28
2016-08-26,2170,471.2,2048,245.5,77.4,240.9,11.743,55.504,51.8,21.44,257.7,173.49400000000003,241.0,433.1,77.85,40.17,81.25,58.95,13.77,77.502,8168.32
2016-09-02,2207,474.7,2069,254.2,77.8,242.9,12.544,55.898999999999994,52.05,21.8,260.0,173.679,248.0,427.3,79.05,42.6,84.2,58.55,14.42,79.568,8294.3
2016-09-09,2159,474.7,2022,258.0,77.4,240.0,13.104000000000001,56.442,50.75,21.87,266.9,169.048,253.0,419.9,78.3,42.85,86.45,59.15,14.47,78.618,8264.13
2016-09-16,2135,467.7,1999,252.0,77.55,240.1,12.37,52.986000000000004,49.24,21.48,256.8,167.93599999999998,247.1,419.7,76.75,41.6,83.95,56.35,13.47,78.968,8130.44
2016-09-23,2170,474.0,2004,256.3,79.15,245.5,12.669,54.122,52.85,22.12,276.9,170.993,254.9,426.9,76.8,40.57,88.6,59.55,13.44,79.702,8272.89
2016-09-30,2175,461.7,1977,250.0,76.4,241.0,12.264000000000001,54.023,52.5,21.81,274.7,171.919,251.5,425.4,76.55,39.53,87.65,59.2,13.23,78.735,8139.01
2016-10-07,2159,449.9,1976,256.3,76.55,238.3,12.602,55.306999999999995,51.9,22.31,277.3,171.827,253.6,423.0,75.25,40.26,85.9,59.8,13.62,78.001,8124.59
2016-10-14,2119,452.4,1947,254.0,75.4,235.8,12.554,55.405,51.15,22.16,311.5,168.585,256.3,425.6,75.3,39.96,88.7,66.3,13.28,78.752,8089.91
2016-10-21,2115,454.1,1924,257.4,74.9,232.3,13.104000000000001,58.023,53.3,22.18,306.7,171.271,256.4,427.3,73.15,40.03,90.65,65.05,13.55,77.768,8034.86
2016-10-28,2011,456.0,1917,259.5,71.1,229.8,13.519,58.665,53.05,20.45,305.0,174.606,261.3,416.0,72.8,40.1,92.8,64.8,14.26,70.785,7908.57
2016-11-04,1980,441.2,1856,249.1,68.15,220.1,11.724,56.343999999999994,51.35,19.91,293.4,164.69400000000002,253.5,402.5,70.5,38.29,89.25,66.35,13.16,77.385,7593.2
2016-11-11,1954,435.4,1761,261.6,72.5,234.5,13.345,59.208,54.9,21.01,299.0,165.528,273.3,403.0,68.6,42.42,91.75,66.15,15.43,81.185,7880.29
2016-11-18,2000,436.4,1797,266.6,71.6,232.0,13.634,60.343999999999994,53.85,20.89,298.3,169.048,275.5,406.6,68.45,45.05,92.75,66.05,16.07,81.518,7904.55
2016-11-25,2000,435.2,1830,268.3,70.6,227.1,13.258,61.578,53.15,20.93,290.8,167.195,276.4,403.8,69.0,45.14,93.3,64.6,15.96,82.085,7881.53
2016-12-02,2023,431.0,1790,262.5,68.75,220.6,13.162,61.578,52.85,20.84,298.0,163.675,274.7,397.4,68.0,44.69,92.7,65.25,15.92,82.318,7784.01
2016-12-09,2029,446.8,1821,277.9,70.75,227.8,15.052999999999999,64.146,54.25,21.28,317.6,164.972,286.5,402.0,71.0,46.35,96.25,67.5,17.08,82.235,8099.63
2016-12-16,2055,447.3,1832,280.1,73.7,233.5,15.177999999999999,65.874,53.1,21.58,308.4,157.006,289.3,400.1,72.2,46.25,96.8,66.85,16.58,79.968,8227.72
2016-12-23,2063,455.4,1838,281.5,73.9,232.2,14.657,66.072,53.35,21.65,315.1,160.711,290.3,407.2,73.1,45.73,97.05,66.5,16.08,81.568,8232.64
2016-12-30,2072,456.1,1866,280.4,74.1,232.6,14.097000000000001,65.825,53.65,21.48,316.7,163.305,288.2,408.2,73.05,45.23,96.5,67.45,15.95,81.535,8219.87
2017-01-06,2101,467.1,1869,285.6,74.75,241.3,15.333,68.541,54.15,21.94,312.4,170.808,298.3,410.3,74.6,47.86,96.8,67.4,17.0,79.818,8417.46
2017-01-13,2146,461.2,1848,283.7,73.0,239.0,15.555,69.726,54.25,22.67,353.6,171.549,295.6,414.0,74.5,48.14,96.4,77.4,17.34,80.518,8452.19
2017-01-20,2094,441.8,1811,277.7,70.9,233.5,15.005,69.825,51.05,22.83,345.2,169.882,295.2,420.7,73.35,46.63,92.45,76.25,16.69,80.418,8275.13
2017-01-27,2104,437.0,1825,289.7,71.9,236.3,14.744000000000002,70.26899999999999,54.05,23.75,350.7,169.78900000000002,300.8,425.0,73.15,46.09,94.0,77.2,16.25,85.00200000000001,8379.57
2017-02-03,2076,432.4,1716,286.7,72.95,235.8,14.550999999999998,70.072,55.05,23.45,347.5,161.916,308.1,422.2,72.85,46.75,94.4,75.55,16.0,87.75200000000001,8350.84
2017-02-10,2113,444.0,1768,280.4,75.4,240.0,14.088,69.578,56.25,22.94,337.7,164.417,310.2,429.1,73.8,47.37,94.3,75.4,15.95,90.00200000000001,8456.22
2017-02-17,2129,447.9,1801,278.6,77.0,243.5,14.773,69.825,55.85,22.76,336.6,166.362,313.2,426.9,73.85,48.35,92.75,74.8,15.81,89.91799999999999,8506.49
2017-02-24,2131,449.6,1821,275.5,77.6,245.2,14.503,69.627,55.65,22.62,342.2,166.64,314.6,426.6,74.5,48.63,90.7,75.0,15.45,93.419,8525.62
2017-03-03,2116,446.4,1818,283.8,76.25,260.3,15.39,68.936,58.8,22.91,336.6,171.178,325.3,438.0,74.65,49.25,90.45,75.25,16.22,93.169,8670.06
2017-03-10,2124,448.6,1817,282.7,76.1,258.5,15.033,68.936,57.4,22.75,343.7,170.808,324.9,440.0,75.45,49.34,90.3,76.2,16.17,95.919,8669.97
2017-03-17,2161,459.6,1839,287.0,75.6,253.3,14.937000000000001,69.923,58.8,23.21,347.7,171.178,322.4,435.8,77.2,49.25,90.65,77.8,16.04,97.919,8698.53
2017-03-24,2100,457.0,1857,286.7,73.75,252.9,14.088,69.43,57.65,23.18,354.0,168.863,317.6,436.5,77.2,49.49,89.05,78.45,15.54,99.00200000000001,8613.64
2017-03-31,2137,462.1,1804,267.4,74.35,255.8,14.377,70.26899999999999,59.2,23.43,358.7,175.43900000000002,323.2,431.8,76.85,50.0,89.95,79.2,16.03,100.169,8658.89
2017-04-07,2155,437.3,1817,268.3,74.1,256.4,14.011,70.072,58.8,23.51,356.6,175.995,323.4,423.7,76.8,50.05,89.9,79.1,15.68,102.00200000000001,8640.91
2017-04-14,2181,436.1,1897,266.7,73.9,256.7,13.895,71.405,57.85,22.99,371.9,179.33,325.3,428.6,76.4,49.29,89.25,80.1,15.45,104.585,8629.02
2017-04-21,2185,437.2,1894,264.6,73.3,251.7,13.924000000000001,71.751,57.95,23.17,366.3,176.829,326.8,427.8,75.7,49.21,88.9,78.55,15.56,102.169,8553.99
2017-04-28,2239,434.0,1917,275.4,76.55,260.3,14.599,72.985,56.4,24.36,398.3,188.5,323.8,453.2,76.65,51.85,86.6,83.15,17.0,105.835,8812.67
2017-05-05,2258,448.9,1954,277.8,76.85,268.9,15.005,74.26899999999999,57.1,24.46,412.4,188.4,334.4,461.4,80.0,52.1,89.45,85.1,17.4,108.169,9016.66
2017-05-12,2320,457.7,1963,281.9,80.9,270.5,14.222999999999999,75.602,56.4,24.71,393.4,199.4,326.7,455.3,81.4,52.9,89.55,81.6,16.82,102.50200000000001,9123.41
2017-05-19,2321,456.4,1994,286.5,78.75,267.0,13.557,74.071,54.4,24.3,389.1,197.8,321.2,447.7,82.35,51.7,88.0,81.7,15.95,105.419,9022.51
2017-05-26,2316,465.3,1998,286.1,78.6,266.6,13.69,72.096,58.3,24.32,379.2,205.4,321.8,449.9,82.85,51.05,87.65,81.25,15.85,103.919,9042.03
2017-06-02,2322,463.1,2014,284.3,79.4,264.9,13.36,72.146,57.6,24.83,382.5,206.7,323.3,455.8,82.95,49.9,88.55,81.5,15.44,105.25200000000001,9043.96
2017-06-09,2320,458.6,1966,284.9,78.8,247.8,13.43,72.343,57.0,24.58,362.3,203.2,322.9,450.4,80.95,50.0,87.25,79.3,15.49,105.50200000000001,8845.85
2017-06-16,2389,465.9,1975,289.6,78.1,254.2,13.16,73.528,56.35,24.5,364.6,202.6,330.1,459.5,83.45,51.75,88.25,80.1,15.78,106.25200000000001,8963.29
2017-06-23,2364,468.4,1956,284.6,83.7,252.8,13.35,72.788,55.95,24.57,369.1,208.6,323.9,458.5,82.1,50.9,89.3,80.6,15.61,106.25200000000001,9032.89
2017-06-30,2322,462.7,1918,279.1,79.8,244.2,13.86,71.997,54.9,23.68,354.1,207.3,323.6,447.2,83.45,50.45,87.65,79.0,16.24,102.669,8906.89
2017-07-07,2287,463.1,1885,286.9,79.05,240.5,14.62,71.553,55.55,23.7,355.1,211.0,338.0,447.3,81.85,51.6,90.55,78.15,16.84,103.419,8883.27
2017-07-14,2341,466.1,1958,291.0,79.9,245.9,14.63,72.096,56.7,24.12,353.8,214.5,343.0,457.9,84.0,50.75,90.2,79.85,16.86,107.669,9034.57
2017-07-21,2214,469.6,1921,286.6,80.3,244.0,14.24,71.4,56.4,22.54,371.1,214.9,337.6,451.1,82.6,49.87,90.7,79.9,16.67,107.419,8938.68
2017-07-28,2151,471.9,1913,293.0,81.65,242.5,15.13,73.0,57.55,22.67,382.8,231.4,347.4,457.7,81.7,54.1,92.8,81.9,16.9,110.836,9019.31
2017-08-04,2181,480.5,1980,297.2,82.6,248.0,15.27,74.45,59.0,22.75,398.7,228.5,362.8,482.0,83.25,55.5,92.05,85.35,17.06,112.169,9176.99
2017-08-11,2128,472.6,1916,289.2,79.9,242.3,14.34,69.05,57.5,21.98,375.1,222.3,345.6,469.5,80.85,52.45,88.25,82.6,16.38,109.835,8884.04
2017-08-18,2141,474.6,1930,291.6,79.8,241.4,14.38,70.25,57.5,21.94,371.0,229.1,346.2,446.5,80.85,53.9,87.45,82.2,16.23,110.669,8874.35
2017-08-25,2149,479.0,1968,292.1,80.2,242.0,14.43,69.65,57.25,22.26,377.6,237.8,346.7,444.4,80.6,53.75,87.9,85.25,16.08,111.669,8906.18
2017-09-01,2150,482.0,1974,287.4,80.85,244.2,14.17,69.85,57.15,22.41,386.5,244.5,346.6,439.3,81.15,54.3,86.95,86.15,15.8,114.586,8941.62
2017-09-08,2187,476.5,2017,279.8,81.0,244.6,13.97,70.4,56.6,22.75,383.0,247.9,333.7,442.5,80.65,53.4,83.35,87.15,15.56,115.586,8912.05
2017-09-15,2232,482.2,2024,287.1,82.4,243.2,14.89,73.3,58.3,23.43,373.3,252.9,333.0,447.1,80.95,54.95,85.75,87.5,16.05,118.75200000000001,9028.05
2017-09-22,2250,489.0,2113,288.0,83.45,248.0,15.24,74.6,59.2,23.93,382.8,255.6,337.0,458.5,80.55,56.7,86.25,87.7,16.44,121.919,9136.72
2017-09-29,2323,496.2,2107,295.4,82.9,247.2,15.33,75.4,56.6,23.94,402.8,254.0,341.1,458.1,81.1,57.3,87.7,88.5,16.55,120.086,9157.46
2017-10-06,2309,496.2,2085,294.4,84.05,247.9,15.72,75.1,56.1,24.45,396.6,259.4,340.4,461.5,82.9,57.35,89.6,88.5,16.75,118.75200000000001,9252.12
2017-10-13,2326,502.0,2171,295.1,83.9,244.7,15.45,75.95,57.2,24.43,391.9,268.3,346.5,469.9,84.85,58.25,91.45,89.45,16.91,119.669,9311.69
2017-10-20,2336,495.8,2163,297.6,84.45,234.4,15.9,76.95,57.3,24.99,392.3,256.4,345.7,461.3,83.45,58.2,92.05,88.1,17.12,119.25200000000001,9237.13
2017-10-27,2411,499.0,2220,303.2,81.05,230.1,15.88,78.05,56.85,25.29,391.2,267.1,348.0,474.9,82.65,58.7,93.9,91.75,17.08,122.919,9183.42
2017-11-03,2470,502.0,2271,302.9,83.6,232.7,16.14,78.85,56.95,26.18,392.7,268.2,344.8,444.4,84.75,59.45,93.35,92.25,17.07,123.586,9322.05
2017-11-10,2422,504.0,2244,301.6,81.65,227.7,15.96,75.25,56.65,25.16,368.3,258.0,346.0,428.7,83.45,58.65,93.0,86.8,17.01,121.75200000000001,9134.16
2017-11-17,2400,505.5,2269,299.8,83.3,230.1,15.88,73.95,55.2,24.89,360.7,259.9,335.7,423.8,84.4,59.0,92.85,86.65,16.98,123.669,9183.61
2017-11-24,2423,510.5,2231,298.1,83.4,246.5,16.35,73.55,55.45,25.08,365.0,258.9,334.5,427.0,85.2,60.25,92.1,86.85,16.94,125.419,9325.6
2017-12-01,2417,518.5,2213,294.1,83.8,248.1,16.57,73.2,52.8,24.92,361.0,255.8,327.0,422.4,83.75,57.05,91.85,85.65,16.95,125.419,9274.55
2017-12-08,2476,524.0,2255,297.6,83.1,240.5,17.19,74.1,52.95,25.92,373.3,257.1,329.9,427.5,85.35,57.3,90.65,87.1,17.35,125.50200000000001,9319.16
2017-12-15,2457,523.0,2201,302.0,83.8,244.1,17.47,74.0,53.8,25.77,394.3,259.9,341.4,425.1,84.3,59.0,92.5,89.05,18.01,127.169,9394.71
2017-12-22,2530,519.5,2242,298.0,82.2,246.3,17.82,74.6,54.4,26.27,395.8,261.7,344.3,430.5,83.6,59.3,91.8,89.0,18.11,130.253,9394.49
2017-12-29,2541,518.5,2252,296.6,82.4,246.5,17.4,74.55,54.95,26.12,397.4,263.3,345.0,429.1,83.8,59.6,91.25,88.3,17.94,129.003,9381.87
